Aspect	Frequency
the massage	85
time	65
an appointment	49
my neck	46
a lot	45
pain	43
a bit	43
a massage	42
my insurance	37
dr. kim	37
massage	33
the office	33
dr. camp	31
the staff	30
yelp	25
a chiropractor	25
the appointment	25
the time	25
my appointment	25
people	24
the pain	23
the doctor	23
my experience	22
treatment	21
the receptionist	21
dr. gustin	21
chiropractors	21
my body	20
the day	19
a week	19
the phone	19
his office	19
dr. tiltmann	19
the price	18
my boyfriend	18
massages	17
chiropractic care	17
a call	17
the front desk	16
an hour	16
my husband	16
care	16
the masseuse	15
the body	15
the next day	14
my feet	14
etc.	14
my life	14
the experience	14
the massage therapist	14
chiropractic	13
adjustments	13
my ankle	13
this review	13
my massage	13
the first time	13
my pain	13
san francisco	13
a couple	13
this office	12
the door	12
a doctor	12
advance	12
pressure	12
money	12
super	12
a groupon	12
groupon	12
home	12
health	12
x-rays	12
sf	11
acupuncture	11
the guy	11
dr. chuck	11
every time	11
front	11
relief	11
my money	11
a patient	11
the treatment	11
a great experience	10
times	10
the manager	10
addition	10
feeling	10
weeks	10
other chiropractors	10
the city	10
our appointment	10
a month	10
insurance	10
10 minutes	10
exercises	10
the groupon	10
my masseuse	10
laura	9
my shoulders	9
dr. biegel	9
an adjustment	9
my first visit	9
questions	9
$ 40	9
world	9
professional	9
the pressure	9
this time	9
the woman	9
patients	9
world of health	8
brad	8
dr. blum	8
my head	8
a few months	8
many chiropractors	8
the issue	8
the person	8
week	8
30 minutes	8
the building	8
5 stars	8
months	8
days	8
service	8
the paperwork	8
my legs	8
appointments	7
business	7
staff	7
the service	7
two days	7
lots	7
my review	7
neck	7
visit	7
ed	7
the owner	7
this practice	7
visits	7
pilates	7
the therapist	7
adjustment	7
$ 20	7
joe	7
my visits	7
a visit	7
dr. makoi	7
paperwork	7
dr camp	7
shoulder	7
lower	7
a car accident	7
sf custom chiropractic	7
your body	7
a result	7
a day	7
ralph	7
our massage	7
my spine	7
english	7
results	7
1	6
2	6
3	6
top	6
a waste	6
my condition	6
champagne and strawberries	6
dr. dan	6
my muscles	6
lack	6
next time	6
deborah	6
90 minutes	6
several months	6
the rest	6
my posture	6
billing	6
$ 45	6
a few weeks	6
all the time	6
my arm	6
20 minutes	6
access	6
the massage room	6
the money	6
a few times	6
two weeks	6
town	6
no idea	6
a yelp deal	6
3 times	6
life	6
a great job	6
life chiropractic	6
a time	6
a long time	6
dr. alex	6
neck pain	6
15 minutes	6
sf custom chiro	6
my time	6
a few days	6
my opinion	6
the location	6
dr. john girlando	6
my bf	5
day	5
therapy	5
training	5
dominique	5
western medicine	5
knots	5
my visit	5
the reason	5
dr.	5
the foot massage	5
a good chiropractor	5
attention	5
my foot	5
my credit card	5
pt	5
the first visit	5
email	5
chiropractor	5
a bill	5
a computer	5
my house	5
a deep tissue massage	5
the business	5
my fault	5
the week	5
rincon	5
the street	5
the exercises	5
the class	5
a bunch	5
dr. cohen	5
your insurance	5
$ 50	5
$ 55	5
their services	5
5 minutes	5
a swedish massage	5
a friend	5
another chiropractor	5
doctor	5
so much pain	5
parking	5
a foot massage	5
his staff	5
the people	5
the front	5
massage therapists	5
a business	5
a plan	5
the lobby	5
the couples massage	5
my back pain	5
dr. plotkin	5
dr kim	5
some sort	5
the desk	5
friday	5
the root	5
20 %	5
dr. g	5
session	5
the visit	5
moana	5
full price	5
my doctor	5
art	5
dr. tiltman	5
scar tissue	5
patient	5
the reviews	5
office	5
doctors	5
physical therapy	5
dr. wayne	4
dr chuck	4
services	4
my issues	4
hours	4
daniela	4
the champagne	4
his business	4
attitude	4
my office	4
the girl	4
her staff	4
the whole time	4
the adjustments	4
the difference	4
stay	4
an email	4
the whole experience	4
the bed	4
love	4
a woman	4
advantage	4
ehs	4
these people	4
dr. delghi	4
wonderfoot	4
that day	4
my session	4
masseuse	4
any pain	4
6 months	4
dr. buettner	4
my mother	4
my concerns	4
dr. mazgaloff	4
dr	4
the promotion	4
the insurance	4
terms	4
my plan	4
customer service	4
that time	4
warm	4
yesterday	4
cyril	4
the middle	4
the issues	4
saturday	4
the music	4
advice	4
the chair massage	4
the therapists	4
touch	4
the worst experience	4
4 stars	4
several times	4
my eyes	4
the check	4
upper	4
insurance coverage	4
the doc	4
this doctor	4
night	4
several days	4
the lady	4
the next time	4
the lack	4
my lower	4
one star	4
another appointment	4
the results	4
my neck and shoulders	4
my shoulder	4
dr. balbon	4
injuries	4
detail	4
stretches	4
tons	4
my therapist	4
my husband and i	4
five minutes	4
lower back pain	4
dishes	4
my wife	4
this experience	4
yoga	4
tuesday	4
bottom line	4
appointment	4
dr. oshtory	4
chinese	4
robert	4
every day	4
dr. shapero	4
update	4
my adjustment	4
the deal	4
the amount	4
my hip	4
network	4
dr tiltmann	4
a shot	4
a couple times	4
15 mins	4
